Counter-Strike: Global Offensive,730
Dota 2,570
PLAYERUNKNOWN'S BATTLEGROUNDS,578080
Grand Theft Auto V,271590
Team Fortress 2,440
Tom Clancy's Rainbow Six Siege,359550
Unturned,304930
Left 4 Dead 2,550
Warframe,230410
Brawlhalla,291550
Garry's Mod,4000
Terraria,105600
Rocket League,252950
PAYDAY 2,218620
Rust,252490
Paladins,444090
Borderlands 2,49520
Destiny 2,1085660
Portal 2,620
Counter-Strike,10
War Thunder,236390
Path of Exile,238960
Z1 Battle Royale,433850
Counter-Strike: Source,240
Half-Life 2,220
Robocraft,301520
Heroes & Generals,227940
Trove,304050
Black Squad,550650
SMITE,386360
Grim Dawn,219990
Warface,291480
GRID 2,44350
Counter-Strike: Condition Zero Deleted Scenes,100
Half-Life 2: Lost Coast,340
Serena,272060
Guacamelee! Super Turbo Championship Edition,275390
Half-Life Deathmatch: Source,360
The Witcher 3: Wild Hunt,292030
Euro Truck Simulator 2,227300
The Elder Scrolls V: Skyrim,72850
ARK: Survival Evolved,346110
Dead by Daylight,381210
Stardew Valley,413150
MONSTER HUNTER: WORLD,582010
Don't Starve Together,322330
The Forest,242760
Wallpaper Engine,431960
Dying Light,239140
Sid Meier's Civilization V,8930
Fallout 4,377160
Tomb Raider,203160
Arma 3,107410
Life is Strange™,319630
Cities: Skylines,255710
Human: Fall Flat,477160
Age of Empires II (2013),221380
Don't Starve,219740
Dota Underlords,1046930
Portal,400
Ring of Elysium,755790
Castle Crashers,204360
Tom Clancy's The Division,365590
Chivalry: Medieval Warfare,219640
SCP: Secret Laboratory,700330
No More Room in Hell,224260
VRChat,438100
Dirty Bomb,333930
Clicker Heroes,363970
Half-Life,70
PlanetSide 2,218230
AdVenture Capitalist,346900
Warhammer: Vermintide 2,552500
World of Warships,552990
Loadout,208090
Call of Duty: Modern Warfare 2,10180
World of Tanks Blitz,444200
Call of Duty: Modern Warfare 2 - Multiplayer,10190
HITMAN™ 2,863550
Evolve Stage 2,273350
Fallout Shelter,588430
Realm Royale,813820
Left 4 Dead,500
Counter-Strike Nexon: Studio,273110
A Story About My Uncle,278360
APB Reloaded,113400
Neverwinter,109600
Black Desert Online,582660
Half-Life 2: Episode Two,420
Infestation: The New Z,555570
Counter-Strike: Condition Zero,80
theHunter Classic,253710
Day of Defeat: Source,300
Half-Life 2: Episode One,380
Half-Life: Opposing Force,50
Half-Life 2: Deathmatch,320
Half-Life: Blue Shift,130
ARK: Survival Of The Fittest,407530
The Tiny Bang Story,96000
Day of Defeat,30
Oddworld: Abe's Oddysee,15700
Kathy Rain,370910
Braveland,285800
Deathmatch Classic,40
H1Z1: Test Server,439700
Street Warriors Online,417910
DARK SOULS™ III,374320
DayZ,221100
Starbound,211820
Doki Doki Literature Club,698780
Subnautica,264710
Undertale,391540
DOOM,379720
Mount & Blade: Warband,48700
Insurgency,222880
The Binding of Isaac: Rebirth,250900
7 Days to Die,251570
BioShock Infinite,8870
Fallout: New Vegas,22380
The Elder Scrolls V: Skyrim Special Edition,489830
Hollow Knight,367520
Sid Meier's Civilization VI,289070
Risk of Rain 2,632360
Divinity: Original Sin 2,435150
Sekiro™: Shadows Die Twice,814380
Killing Floor 2,232090
